     atm_u           atm_v           atm_T           atm_q           R_net     
-1.06943905E+00  7.80709267E+00  2.92729980E+02  1.01216957E-02  -4.93699989E+01
-1.09405625E+00  7.88445568E+00  2.92720001E+02  1.01281963E-02  -4.93563323E+01
-1.16427898E+00  7.88450050E+00  2.92709991E+02  1.01280911E-02  -4.93426656E+01
-1.01695454E+00  7.52156258E+00  2.92720001E+02  1.01214843E-02  -4.93289989E+01
-1.04574251E+00  8.16329098E+00  2.92720001E+02  1.01349093E-02  -4.93153323E+01
-8.92073274E-01  8.21168709E+00  2.92729980E+02  1.01283025E-02  -4.93016656E+01
-9.50282693E-01  7.85271025E+00  2.92739990E+02  1.01215895E-02  -4.92879990E+01
-9.97136116E-01  8.23988628E+00  2.92729980E+02  1.01216957E-02  -4.92743323E+01
-1.21572173E+00  8.03858948E+00  2.92739990E+02  1.01286201E-02  -4.92606656E+01
-1.14739430E+00  8.95680618E+00  2.92750000E+02  1.01353331E-02  -4.92469990E+01
-1.40828764E+00  7.98679018E+00  2.92760010E+02  1.01342732E-02  -4.92333323E+01
-1.23001623E+00  8.32967377E+00  2.92750000E+02  1.01409862E-02  -4.92196657E+01
-1.10043848E+00  7.73208475E+00  2.92720001E+02  1.01215895E-02  -4.92059990E+01
-1.17534721E+00  7.77162552E+00  2.92699982E+02  1.01421513E-02  -4.91923323E+01
-1.08386195E+00  8.46085930E+00  2.92679993E+02  1.01608066E-02  -4.91786657E+01
-1.40419340E+00  8.30208683E+00  2.92690002E+02  1.01682646E-02  -4.91649990E+01
-1.15235388E+00  8.19941902E+00  2.92699982E+02  1.01747653E-02  -4.91513323E+01
-1.11693943E+00  8.15385437E+00  2.92660004E+02  1.01747653E-02  -4.91376657E+01
-1.30252600E+00  7.95405769E+00  2.92649994E+02  1.01877674E-02  -4.91239990E+01
-1.40804708E+00  7.67185831E+00  2.92630005E+02  1.01817986E-02  -4.91103324E+01
-1.13532531E+00  7.87861919E+00  2.92619995E+02  1.02010919E-02  -4.90966657E+01
-1.24547446E+00  7.68979120E+00  2.92589996E+02  1.01874489E-02  -4.90829990E+01
-1.17656302E+00  7.87256622E+00  2.92549988E+02  1.02071660E-02  -4.90693324E+01
-1.13675153E+00  7.88851643E+00  2.92539978E+02  1.02208089E-02  -4.90556657E+01
-9.61879849E-01  7.50864077E+00  2.92500000E+02  1.02072731E-02  -4.90419991E+01
-1.13147795E+00  8.05087948E+00  2.92470001E+02  1.02335988E-02  -4.90283324E+01
-9.35956061E-01  7.62275410E+00  2.92489990E+02  1.02334926E-02  -4.90146657E+01
-8.12921464E-01  7.60668516E+00  2.92479980E+02  1.02266697E-02  -4.90009991E+01
-9.45553601E-01  7.59133911E+00  2.92449982E+02  1.02275247E-02  -4.89873324E+01
-6.54291809E-01  7.63200521E+00  2.92449982E+02  1.02601424E-02  -4.89736657E+01
-7.77307808E-01  8.07266235E+00  2.92429993E+02  1.02535337E-02  -4.89599991E+01
-8.19713831E-01  7.54560614E+00  2.92429993E+02  1.02473525E-02  -4.89013325E+01
-6.56929016E-01  7.36074352E+00  2.92419983E+02  1.02534266E-02  -4.88426659E+01
-6.21993601E-01  6.96929932E+00  2.92380005E+02  1.02334926E-02  -4.87839993E+01
-6.27648771E-01  7.63424253E+00  2.92339996E+02  1.02404216E-02  -4.87253326E+01
-5.41962802E-01  7.38012695E+00  2.92309998E+02  1.02468170E-02  -4.86666660E+01
-4.80867118E-01  7.05362797E+00  2.92289978E+02  1.02535337E-02  -4.86079994E+01
-3.15321952E-01  7.52339554E+00  2.92269989E+02  1.02471383E-02  -4.85493328E+01
