     atm_u           atm_v           atm_T           atm_q           R_net     
-6.59276628E+00  5.05880785E+00  2.93000000E+02  8.92517995E-03  -4.28857174E+01
-6.52617550E+00  4.45185757E+00  2.93000000E+02  8.93180352E-03  -4.28762207E+01
-6.30018711E+00  4.44429350E+00  2.92989990E+02  8.94477591E-03  -4.28667240E+01
-5.68458986E+00  4.23716211E+00  2.92970001E+02  8.93787295E-03  -4.28572273E+01
-5.42491055E+00  4.74915218E+00  2.92959991E+02  8.95774830E-03  -4.28477306E+01
-4.87270451E+00  3.94583964E+00  2.92919983E+02  8.95784050E-03  -4.28382339E+01
-5.44480324E+00  4.26927185E+00  2.92910004E+02  8.96400120E-03  -4.28287373E+01
-5.91023922E+00  4.60099649E+00  2.92869995E+02  8.98415782E-03  -4.28192406E+01
-5.54887390E+00  4.47737694E+00  2.92850006E+02  8.99685174E-03  -4.28097439E+01
-6.26379585E+00  5.07232332E+00  2.92829987E+02  8.98425095E-03  -4.28002472E+01
-6.02725124E+00  5.35124731E+00  2.92859985E+02  8.99741054E-03  -4.27907505E+01
-5.78107548E+00  5.02541161E+00  2.92859985E+02  8.99768993E-03  -4.27812538E+01
-6.07467365E+00  4.78029680E+00  2.92869995E+02  9.01113171E-03  -4.27717571E+01
-6.21110439E+00  4.80048752E+00  2.92859985E+02  9.01747961E-03  -4.27622604E+01
-5.82339954E+00  4.54973793E+00  2.92850006E+02  9.03073512E-03  -4.27527637E+01
-5.73907661E+00  4.78162098E+00  2.92820007E+02  9.04371217E-03  -4.27432671E+01
-5.51990223E+00  4.73112917E+00  2.92809998E+02  9.05697048E-03  -4.27337704E+01
-6.44828701E+00  5.42996311E+00  2.92789978E+02  9.05762706E-03  -4.27242737E+01
-6.54836988E+00  5.11614704E+00  2.92809998E+02  9.05725174E-03  -4.27147770E+01
-6.42607975E+00  5.31611776E+00  2.92820007E+02  9.06406809E-03  -4.27052803E+01
-6.28453445E+00  5.67851496E+00  2.92820007E+02  9.07723513E-03  -4.26957836E+01
-6.18087006E+00  5.64391136E+00  2.92799988E+02  9.07732826E-03  -4.26862869E+01
-5.75171995E+00  5.73167610E+00  2.92809998E+02  9.09021404E-03  -4.26767902E+01
-6.24189520E+00  5.56132507E+00  2.92789978E+02  9.09675099E-03  -4.26672935E+01
-5.44005060E+00  5.42109251E+00  2.92779999E+02  9.11020208E-03  -4.26577969E+01
-5.80495882E+00  6.18165350E+00  2.92779999E+02  9.11636092E-03  -4.26483002E+01
-6.36396074E+00  6.36396074E+00  2.92789978E+02  9.12962481E-03  -4.26230469E+01
-5.80542660E+00  5.54778528E+00  2.92789978E+02  9.13644582E-03  -4.25977936E+01
-6.43987179E+00  5.57839203E+00  2.92779999E+02  9.14317369E-03  -4.25725403E+01
-5.42339945E+00  5.36690235E+00  2.92769989E+02  9.16278828E-03  -4.25472870E+01
-5.81547070E+00  5.79520464E+00  2.92750000E+02  9.17586591E-03  -4.25220337E+01
-5.79345036E+00  5.99929476E+00  2.92729980E+02  9.17605683E-03  -4.24967804E+01
-5.84218884E+00  5.96584797E+00  2.92729980E+02  9.18240380E-03  -4.24715271E+01
-6.02231693E+00  5.75505018E+00  2.92750000E+02  9.18278471E-03  -4.24462738E+01
-5.24273634E+00  5.80225182E+00  2.92729980E+02  9.19567421E-03  -4.24210205E+01
-5.09184504E+00  5.27276134E+00  2.92699982E+02  9.21548251E-03  -4.23957672E+01
-5.34287691E+00  5.47504902E+00  2.92690002E+02  9.22211818E-03  -4.23705139E+01
-5.91915131E+00  6.04443979E+00  2.92699982E+02  9.22269095E-03  -4.23452606E+01
-5.56807327E+00  5.64636660E+00  2.92690002E+02  9.23548546E-03  -4.23200073E+01
-5.50587273E+00  5.35422850E+00  2.92669983E+02  9.25558619E-03  -4.22947540E+01
-5.14262390E+00  5.36267805E+00  2.92660004E+02  9.26847849E-03  -4.22695007E+01
-5.35003424E+00  5.71716976E+00  2.92639984E+02  9.26232059E-03  -4.22442474E+01
-4.65749121E+00  5.01205921E+00  2.92660004E+02  9.28791147E-03  -4.22189941E+01
-5.26591206E+00  5.54911470E+00  2.92619995E+02  9.29483864E-03  -4.21937408E+01
-4.64652824E+00  5.42119694E+00  2.92630005E+02  9.30772908E-03  -4.21684875E+01
-4.40553570E+00  5.78309202E+00  2.92630005E+02  9.32716392E-03  -4.21432343E+01
