     atm_u           atm_v           atm_T           atm_q     
-1.69096000E+00  -5.60885000E-01   2.90533000E+02   9.88093000E-03
-2.41121000E+00  -6.61973000E-01   2.91051000E+02   9.84158000E-03
-2.38036000E+00  -4.09883000E-01   2.91299000E+02   9.82176000E-03
-3.38781000E+00  -3.90654000E-01   2.91007000E+02   9.84612000E-03
-3.37177000E+00  -5.08120000E-01   2.91280000E+02   9.82397000E-03
-3.60598000E+00  -6.69690000E-01   2.91560000E+02   9.80221000E-03
-3.49433000E+00   7.12577000E-01   2.91503000E+02   9.80192000E-03
-3.69561000E+00   6.58178000E-01   2.91235000E+02   9.82591000E-03
-3.45941000E+00  -1.47636000E-01   2.91318000E+02   9.82061000E-03
-3.25850000E+00  -2.19096000E-01   2.91561000E+02   9.79823000E-03
-2.86338000E+00  -6.03093000E-01   2.91224000E+02   9.82725000E-03
-3.11937000E+00   1.41150000E-01   2.91745000E+02   9.78362000E-03
-3.18637000E+00   3.46989000E-01   2.91770000E+02   9.78035000E-03
-3.23412000E+00  -1.02041000E-01   2.91422000E+02   9.80724000E-03
-2.91581000E+00   5.34027000E-02   2.90814000E+02   9.86122000E-03
-3.99182000E+00  -1.83758000E-01   2.91319000E+02   9.81875000E-03
-3.66579000E+00  -3.90686000E-01   2.91479000E+02   9.80345000E-03
-3.18411000E+00  -2.15213000E-02   2.91143000E+02   9.83041000E-03
-2.51220000E+00  -1.96958000E-01   2.91234000E+02   9.82124000E-03
-2.85624000E+00   1.93865000E-01   2.91497000E+02   9.79887000E-03
-2.94658000E+00  -1.12820000E-01   2.91513000E+02   9.79993000E-03
-3.54878000E+00  -3.84791000E-02   2.91221000E+02   9.82735000E-03
-2.95631000E+00   8.40132000E-02   2.90685000E+02   9.86621000E-03
-3.24746000E+00   2.01993000E-01   2.91221000E+02   9.82322000E-03
-2.47778000E+00   5.61501000E-01   2.91076000E+02   9.83386000E-03
-3.02011000E+00   1.56784000E-01   2.91431000E+02   9.80950000E-03
-3.11040000E+00   3.42142000E-01   2.91163000E+02   9.82747000E-03
-3.39699000E+00  -8.01090000E-02   2.90971000E+02   9.84752000E-03
-3.20876000E+00   3.66977000E-01   2.91505000E+02   9.80244000E-03
-2.58495000E+00  -4.20670000E-02   2.91041000E+02   9.84008000E-03
-3.18324000E+00   3.56354000E-01   2.91569000E+02   9.79893000E-03
-3.21701000E+00  -7.14897000E-01   2.90921000E+02   9.85046000E-03
-2.98633000E+00  -4.84406000E-02   2.91544000E+02   9.79686000E-03
-2.88026000E+00  -6.73327000E-01   2.91281000E+02   9.82176000E-03
-3.22119000E+00   3.72811000E-01   2.91683000E+02   9.78777000E-03
-3.90297000E+00  -1.69004000E-01   2.91389000E+02   9.80995000E-03
-2.88380000E+00   4.21375000E-01   2.91024000E+02   9.84445000E-03
-3.72171000E+00   7.38284000E-01   2.91554000E+02   9.79993000E-03
-3.34644000E+00   1.82186000E-01   2.91452000E+02   9.80946000E-03
-3.54291000E+00  -1.16758000E-01   2.91301000E+02   9.82037000E-03
-3.32418000E+00   1.15174000E+00   2.91593000E+02   9.79667000E-03
-3.05157000E+00  -3.45293000E-01   2.91304000E+02   9.81503000E-03
-2.54268000E+00  -9.34817000E-01   2.90940000E+02   9.84905000E-03
-2.64102000E+00   3.40585000E-01   2.91331000E+02   9.81529000E-03
-3.14921000E+00  -4.92750000E-01   2.91040000E+02   9.83820000E-03
-2.03531000E+00   1.92272000E-01   2.91086000E+02   9.83676000E-03
-3.63961000E+00  -9.54904000E-02   2.91085000E+02   9.83478000E-03
-2.99538000E+00  -4.26866000E-01   2.91215000E+02   9.82208000E-03
-2.85523000E+00  -4.50315000E-02   2.91119000E+02   9.83248000E-03
-3.36451000E+00  -3.48556000E-01   2.91348000E+02   9.81509000E-03
-2.22180000E+00   1.05405000E-01   2.91046000E+02   9.83860000E-03
-2.86524000E+00  -5.85820000E-01   2.91083000E+02   9.83352000E-03
-2.86231000E+00  -2.73556000E-01   2.91216000E+02   9.82259000E-03
-3.26061000E+00   2.45897000E-01   2.91531000E+02   9.79922000E-03
-2.74258000E+00  -3.83882000E-01   2.90947000E+02   9.84593000E-03
-3.66204000E+00  -1.51298000E-01   2.91031000E+02   9.83842000E-03
-2.89359000E+00  -3.96388000E-01   2.91060000E+02   9.83254000E-03
-3.79541000E+00  -4.19606000E-01   2.91456000E+02   9.80209000E-03
-3.81806000E+00   4.81857000E-01   2.91507000E+02   9.80086000E-03
-3.21194000E+00  -2.25318000E-01   2.91043000E+02   9.83659000E-03
-3.21862000E+00  -3.32540000E-01   2.91251000E+02   9.82255000E-03
-2.68436000E+00   4.13209000E-01   2.91488000E+02   9.80194000E-03
-2.81667000E+00   1.44328000E-01   2.90951000E+02   9.84265000E-03
-2.98854000E+00   4.43307000E-01   2.91003000E+02   9.83945000E-03
-2.09385000E+00   3.14830000E-02   2.90848000E+02   9.85868000E-03
-2.29614000E+00  -3.07259000E-01   2.91287000E+02   9.81765000E-03
-2.44572000E+00  -3.20936000E-01   2.90916000E+02   9.84875000E-03
-3.48258000E+00  -6.56280000E-01   2.91357000E+02   9.81260000E-03
-2.81659000E+00  -2.53410000E-01   2.91593000E+02   9.79463000E-03
-2.61462000E+00  -2.26809000E-01   2.90917000E+02   9.84815000E-03
-3.83126000E+00  -4.61430000E-01   2.91110000E+02   9.83262000E-03
-2.25555000E+00  -1.53630000E-01   2.90975000E+02   9.84179000E-03
-3.64532000E+00  -4.12401000E-01   2.91305000E+02   9.81761000E-03
-3.32400000E+00  -2.52893000E-01   2.90535000E+02   9.87343000E-03
-2.15540000E+00  -3.47794000E-01   2.90584000E+02   9.87067000E-03
-3.26162000E+00   2.26901000E-02   2.90819000E+02   9.85064000E-03
-2.51784000E+00  -1.47002000E-01   2.90986000E+02   9.83812000E-03
-3.19886000E+00  -3.07238000E-01   2.91136000E+02   9.82874000E-03
-3.13634000E+00  -7.77226000E-01   2.90990000E+02   9.84027000E-03
-2.72877000E+00   6.20098000E-02   2.91215000E+02   9.82188000E-03
-3.76532000E+00   1.14240000E-02   2.90780000E+02   9.85554000E-03
-2.83091000E+00  -3.96889000E-01   2.91376000E+02   9.80905000E-03
-2.75016000E+00  -1.59984000E-01   2.91250000E+02   9.81984000E-03
-2.72037000E+00  -3.69466000E-02   2.90876000E+02   9.85185000E-03
-3.16274000E+00  -1.67029000E-01   2.90985000E+02   9.84072000E-03
-3.48705000E+00   2.64060000E-01   2.91399000E+02   9.80456000E-03
-2.84461000E+00  -2.84929000E-01   2.90793000E+02   9.85922000E-03
-3.40253000E+00  -4.15377000E-01   2.90965000E+02   9.84303000E-03
-2.94537000E+00  -4.49783000E-01   2.91190000E+02   9.82748000E-03
-2.56336000E+00  -1.19061000E-01   2.90899000E+02   9.84738000E-03
-3.37332000E+00  -7.71741000E-02   2.90634000E+02   9.87241000E-03
-2.76012000E+00  -6.40503000E-01   2.91172000E+02   9.82180000E-03
-2.73754000E+00  -8.25527000E-01   2.90618000E+02   9.86652000E-03
